"Depth","Path","SizeBytes","SizeGiB","FileCount","DirCount","Reparse","Unreadable","Incomplete"
"0","/Demo","273804165120","255","1800","0","0","0","0"
"1","/Demo/Archives","60129542144","56","240","0","0","0","0"
"2","/Demo/Archives/2024","25769803776","24","120","0","0","0","0"
"2","/Demo/Archives/2025","34359738368","32","120","0","0","0","0"
"1","/Demo/Documents","10737418240","10","240","0","0","0","0"
"2","/Demo/Documents/Personal","3221225472","3","120","0","0","0","0"
"2","/Demo/Documents/Research","7516192768","7","120","0","0","0","0"
"1","/Demo/Downloads","4294967296","4","120","0","0","0","0"
"2","/Demo/Downloads/Installers","4294967296","4","120","0","0","0","0"
"1","/Demo/Environments","48318382080","45","240","0","0","0","0"
"2","/Demo/Environments/Containers","27917287424","26","120","0","0","0","0"
"2","/Demo/Environments/Python","20401094656","19","120","0","0","0","0"
"1","/Demo/Media","91268055040","85","360","0","0","0","0"
"2","/Demo/Media/Audio","9663676416","9","120","0","0","0","0"
"2","/Demo/Media/Films","45097156608","42","120","0","0","0","0"
"2","/Demo/Media/Photography","36507222016","34","120","0","0","0","0"
"1","/Demo/Projects","59055800320","55","600","0","0","0","0"
"2","/Demo/Projects/Atlas","24696061952","23","240","0","0","0","0"
"3","/Demo/Projects/Atlas/build","22548578304","21","120","0","0","0","0"
"3","/Demo/Projects/Atlas/source","2147483648","2","120","0","0","0","0"
"2","/Demo/Projects/Nova","6442450944","6","120","0","0","0","0"
"2","/Demo/Projects/Orion","27917287424","26","240","0","0","0","0"
"3","/Demo/Projects/Orion/assets","19327352832","18","120","0","0","0","0"
"3","/Demo/Projects/Orion/node_modules","8589934592","8","120","0","0","0","0"
